"","Type","Subpopulation","Indicator","Category","DiffEst.P","StdError.P","LCB95Pct.P","UCB95Pct.P","DiffEst.U","StdError.U","LCB95Pct.U","UCB95Pct.U","NResp_1","Estimate.P_1","StdError.P_1","LCB95Pct.P_1","UCB95Pct.P_1","Estimate.U_1","StdError.U_1","LCB95Pct.U_1","UCB95Pct.U_1","NResp_2","Estimate.P_2","StdError.P_2","LCB95Pct.P_2","UCB95Pct.P_2","Estimate.U_2","StdError.U_2","LCB95Pct.U_2","UCB95Pct.U_2"
"139","EPA_Region","9","Surface_DIN","Poor",-15.3804212802447,9.59997566525525,-34.1960278366059,3.43518527611655,-82.7169110190609,51.4401679565494,-183.537787572589,18.1039655344673,2,16.017694843402,9.58553482155762,0,34.8049978662095,86.0177424903632,51.3681637759871,0,186.697493443253,1,0.637273563157323,0.526360103160698,0,1.66892040825108,3.30083147130228,2.72077740386382,0,8.63345719282575
"140","EPA_Region","9","Surface_DIN","Missing",-42.0130381540204,11.8275237225662,-65.1945586765434,-18.8315176314975,-225.681409402288,69.134606503035,-361.182748233585,-90.1800705709908,32,42.350247905309,11.8236306060824,19.1763577508819,65.524138059736,227.428025963578,69.1171586347538,91.9608843257193,362.895167601437,1,0.33720975128853,0.303441425613382,0,0.931944016908249,1.74661656129051,1.55312542563636,0,4.79068645901122
"141","EPA_Region","10","Surface_DIN","Good",20.955223691509,8.70358165778767,3.89651710574176,38.0139302772763,-329.891794288163,249.261343462652,-818.43505021303,158.651461636703,70,65.7652810503112,4.35105666123605,57.2373666995954,74.293195401027,1720.9601901427,215.570858607926,1298.44907115479,2143.47130913061,71,86.7205047418202,7.53794664378114,71.9464008026246,100,1391.06839585454,125.141608843134,1145.7953495546,1636.34144215448
"142","EPA_Region","10","Surface_DIN","Fair",1.19236487284754,1.88626617012212,-2.50464888584812,4.8893786315432,8.76219401516976,30.4285500102167,-50.8766681066308,68.4010561369704,4,1.02339481012979,0.418985294241978,0.202198723363593,1.84459089689598,26.7804181614408,10.8085787578281,5.59599307203298,47.9648432508486,2,2.21575968297733,1.83914419982669,0,5.82041607701337,35.5426121766105,28.4441783316039,0,91.2921772763888
"143","EPA_Region","10","Surface_DIN","Missing",-20.3566476466294,9.15740875873799,-38.3048390054675,-2.40845628779132,-644.74398714212,165.090634723469,-968.315685384976,-321.172288899264,50,31.4203832218319,4.18394028347893,23.2200109527469,39.6207554909169,822.215427657546,80.0214006867513,665.376364319065,979.054490996028,1,11.0637355752025,8.14572150757031,0,27.0290563581336,177.471440515426,144.400460890982,0,460.491143212736
"144","EPA_Region","10","Surface_DIN","Poor",NA,NA,NA,NA,NA,NA,NA,NA,7,1.79094091772713,0.5314517805763,0.749314568277893,2.83256726717636,46.8657317825213,13.5704553932942,20.2681279578574,73.4633356071853,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","National","National","Surface_DIP","Good",-1.97897953619464,2.43424593727043,-6.75001390275763,2.79205483036834,-1513.68782074339,756.475066896988,-2996.35170706402,-31.02393442277,356,35.4440066116848,1.43477126935618,32.6319065976939,38.2561066256757,10553.9692425019,479.609434185919,9613.95202485187,11493.9864601519,222,33.4650270754901,1.96646502327085,29.6108264530216,37.3192276979587,9040.28142175851,585.003690139358,7893.69525826234,10186.8675852547
"146","National","National","Surface_DIP","Fair",2.30863892188626,2.61365326137273,-2.81402733847994,7.43130518225247,-440.286495249631,796.402335539737,-2001.2063901111,1120.63339961184,598,38.5160731082839,1.47137609674081,35.6322289509588,41.399917265609,11468.7217892791,452.212399552688,10582.4017727934,12355.0418057648,270,40.8247120301702,2.1601471599463,36.5909013953689,45.0585226649714,11028.4352940295,655.561305862349,9743.55874488125,12313.3118431777
"147","National","National","Surface_DIP","Poor",10.9024611788456,1.70606375555901,7.55863766262079,14.2462846950704,2578.53122560072,479.48012020088,1638.76745870406,3518.29499249738,241,13.2739757493549,0.950208431759285,11.4116014453004,15.1363500534094,3952.5196267801,281.929982689117,3399.94701454743,4505.09223901277,174,24.1764369282005,1.41695358930547,21.399258925397,26.953614931004,6531.05085238082,387.835880919707,5770.90649386583,7291.19521089581
"148","National","National","Surface_DIP","Missing",-11.2321205645372,1.06246150698959,-13.314506853197,-9.14973427587746,-3386.89693741398,304.719975983957,-3984.13711571244,-2789.65675911551,163,12.7659445306764,0.855229998217813,11.0897245356712,14.4421645256816,3801.24593148641,251.736745056237,3307.85097759085,4294.64088538198,8,1.5338239661392,0.630401541862765,0.298259648289667,2.76938828398874,414.348994072437,171.705780194362,77.8118489541358,750.886139190738
